User_id,Product_id,Score
80b1e88b032888fb,448192,12225.4985056
80b1e88b032888fb,440515,12160.8730816
80b1e88b032888fb,468902,12126.5820246
80b1e88b032888fb,287746,12069.9053665
80b1e88b032888fb,381339,12057.3110312
80b1e88b032888fb,298729,12034.7081499
80b1e88b032888fb,399074,12034.7081499
80b1e88b032888fb,468901,11990.2569637
80b1e88b032888fb,399078,11986.8859415
80b1e88b032888fb,502733,11969.1944459
80b1e88b032888fb,470702,11966.634442
80b1e88b032888fb,421096,11944.8970745
80b1e88b032888fb,405319,11942.6356583
80b1e88b032888fb,370152,11931.0335463
80b1e88b032888fb,448181,11929.6809173
80b1e88b032888fb,440548,11929.6809173
80b1e88b032888fb,405307,11926.2224094
80b1e88b032888fb,418264,11925.3334438
80b1e88b032888fb,443249,11925.3334438
80b1e88b032888fb,440504,11925.3334438
80b1e88b032888fb,372926,11925.3334438
80b1e88b032888fb,371421,11923.6673815
80b1e88b032888fb,382804,11915.5235912
80b1e88b032888fb,440551,11914.4647601
80b1e88b032888fb,438649,11914.4647601
80b1e88b032888fb,304526,11886.7138568
80b1e88b032888fb,467640,11884.6685389
80b1e88b032888fb,304524,11881.1007928
80b1e88b032888fb,340003,11866.2445815
80b1e88b032888fb,404733,11798.4860037
80b1e88b032888fb,444090,11787.7239939
80b1e88b032888fb,392579,11786.3517295
80b1e88b032888fb,585683,11779.2211081
80b1e88b032888fb,440525,11774.1304168
80b1e88b032888fb,390448,11768.5173528
80b1e88b032888fb,374254,11762.2835628
80b1e88b032888fb,585684,11761.8312142
80b1e88b032888fb,414248,11750.2193126
80b1e88b032888fb,414711,11748.6899857
80b1e88b032888fb,569394,11704.5524614
80b1e88b032888fb,559778,11693.054261
80b1e88b032888fb,517220,11687.587365
80b1e88b032888fb,517611,11686.2249247
80b1e88b032888fb,502661,11680.9884856
80b1e88b032888fb,547311,11678.370266
80b1e88b032888fb,506755,11678.370266
80b1e88b032888fb,517334,11674.0227926
80b1e88b032888fb,504527,11662.3138205
80b1e88b032888fb,433841,11656.6328986
80b1e88b032888fb,502742,11656.6328986
80b1e88b032888fb,497635,11656.6328986
80b1e88b032888fb,623919,11651.7532628
80b1e88b032888fb,559756,11651.7532628
80b1e88b032888fb,502657,11642.7693704
80b1e88b032888fb,556475,11641.4167414
80b1e88b032888fb,585238,11641.4167414
80b1e88b032888fb,548503,11641.4167414
80b1e88b032888fb,548496,11641.4167414
80b1e88b032888fb,564661,11641.4167414
80b1e88b032888fb,517219,11639.7651566
80b1e88b032888fb,611443,11638.4027163
80b1e88b032888fb,551369,11637.146937
80b1e88b032888fb,551364,11637.146937
80b1e88b032888fb,494304,11637.0692679
80b1e88b032888fb,512186,11635.8036774
